,index,pitch,channels,year,month,months_text
0,1,60,1,2011,2,february
1,1,62,1,2011,2,february
2,1,62,1,2011,2,february
3,1,69,1,2011,2,february
4,1,62,1,2011,2,february
5,2,59,1,2011,3,march
6,2,59,1,2011,3,march
7,2,59,1,2011,3,march
8,2,52,1,2011,3,march
9,2,59,1,2011,3,march
10,3,78,0,2011,4,april
11,3,78,0,2011,4,april
12,3,75,0,2011,4,april
13,3,75,0,2011,4,april
14,3,75,0,2011,4,april
15,4,57,1,2011,5,may
16,4,57,1,2011,5,may
17,4,59,1,2011,5,may
18,4,52,1,2011,5,may
19,4,57,1,2011,5,may
20,5,69,3,2011,6,june
21,5,62,3,2011,6,june
22,5,69,3,2011,6,june
23,5,69,3,2011,6,june
24,5,69,3,2011,6,june
25,6,57,2,2011,7,july
26,6,59,2,2011,7,july
27,6,52,2,2011,7,july
28,6,57,2,2011,7,july
29,6,52,2,2011,7,july
30,7,70,2,2011,8,august
31,7,69,2,2011,8,august
32,7,69,2,2011,8,august
33,7,69,2,2011,8,august
34,7,70,2,2011,8,august
35,8,78,2,2011,9,september
36,8,75,2,2011,9,september
37,8,75,2,2011,9,september
38,8,78,2,2011,9,september
39,8,78,2,2011,9,september
40,9,35,1,2011,10,october
41,9,30,1,2011,10,october
42,9,30,1,2011,10,october
43,9,30,1,2011,10,october
44,9,30,1,2011,10,october
45,10,37,1,2011,11,november
46,10,40,1,2011,11,november
47,10,40,1,2011,11,november
48,10,40,1,2011,11,november
49,10,40,1,2011,11,november
50,11,50,2,2011,12,december
51,11,50,2,2011,12,december
52,11,48,2,2011,12,december
53,11,47,2,2011,12,december
54,11,50,2,2011,12,december
55,12,60,1,2012,1,january
56,12,60,1,2012,1,january
57,12,62,1,2012,1,january
58,12,62,1,2012,1,january
59,12,69,1,2012,1,january
60,13,37,1,2012,2,february
61,13,37,1,2012,2,february
62,13,40,1,2012,2,february
63,13,40,1,2012,2,february
64,13,40,1,2012,2,february
65,14,37,3,2012,3,march
66,14,37,3,2012,3,march
67,14,37,3,2012,3,march
68,14,37,3,2012,3,march
69,14,37,3,2012,3,march
70,15,45,2,2012,4,april
71,15,42,2,2012,4,april
72,15,45,2,2012,4,april
73,15,45,2,2012,4,april
74,15,45,2,2012,4,april
75,16,52,4,2012,5,may
76,16,57,4,2012,5,may
77,16,52,4,2012,5,may
78,16,52,4,2012,5,may
79,16,59,4,2012,5,may
80,17,69,4,2012,6,june
81,17,60,4,2012,6,june
82,17,69,4,2012,6,june
83,17,69,4,2012,6,june
84,17,62,4,2012,6,june
85,18,50,2,2012,7,july
86,18,48,2,2012,7,july
87,18,48,2,2012,7,july
88,18,50,2,2012,7,july
89,18,50,2,2012,7,july
90,19,60,4,2012,8,august
91,19,69,4,2012,8,august
92,19,69,4,2012,8,august
93,19,62,4,2012,8,august
94,19,60,4,2012,8,august
95,20,57,2,2012,9,september
96,20,52,2,2012,9,september
97,20,52,2,2012,9,september
98,20,59,2,2012,9,september
99,20,52,2,2012,9,september
100,21,47,4,2012,10,october
101,21,48,4,2012,10,october
102,21,47,4,2012,10,october
103,21,47,4,2012,10,october
104,21,47,4,2012,10,october
105,22,42,4,2012,11,november
106,22,42,4,2012,11,november
107,22,42,4,2012,11,november
108,22,42,4,2012,11,november
109,22,45,4,2012,11,november
110,23,59,3,2012,12,december
111,23,59,3,2012,12,december
112,23,52,3,2012,12,december
113,23,52,3,2012,12,december
114,23,52,3,2012,12,december
115,24,69,3,2013,1,january
116,24,69,3,2013,1,january
117,24,62,3,2013,1,january
118,24,69,3,2013,1,january
119,24,62,3,2013,1,january
120,25,62,2,2013,2,february
121,25,62,2,2013,2,february
122,25,69,2,2013,2,february
123,25,62,2,2013,2,february
124,25,62,2,2013,2,february
125,26,52,2,2013,3,march
126,26,52,2,2013,3,march
127,26,59,2,2013,3,march
128,26,52,2,2013,3,march
129,26,52,2,2013,3,march
130,27,62,1,2013,4,april
131,27,62,1,2013,4,april
132,27,60,1,2013,4,april
133,27,69,1,2013,4,april
134,27,62,1,2013,4,april
135,28,69,1,2013,5,may
136,28,69,1,2013,5,may
137,28,62,1,2013,5,may
138,28,60,1,2013,5,may
139,28,69,1,2013,5,may
140,29,45,1,2013,6,june
141,29,42,1,2013,6,june
142,29,45,1,2013,6,june
143,29,45,1,2013,6,june
144,29,42,1,2013,6,june
145,30,40,3,2013,7,july
146,30,40,3,2013,7,july
147,30,40,3,2013,7,july
148,30,37,3,2013,7,july
149,30,40,3,2013,7,july
150,31,35,2,2013,8,august
151,31,30,2,2013,8,august
152,31,35,2,2013,8,august
153,31,35,2,2013,8,august
154,31,35,2,2013,8,august
155,32,30,1,2013,9,september
156,32,35,1,2013,9,september
157,32,35,1,2013,9,september
158,32,35,1,2013,9,september
159,32,30,1,2013,9,september
160,33,35,3,2013,10,october
161,33,30,3,2013,10,october
162,33,30,3,2013,10,october
163,33,30,3,2013,10,october
164,33,30,3,2013,10,october
165,34,50,2,2013,11,november
166,34,48,2,2013,11,november
167,34,48,2,2013,11,november
168,34,50,2,2013,11,november
169,34,48,2,2013,11,november
170,35,57,2,2013,12,december
171,35,59,2,2013,12,december
172,35,59,2,2013,12,december
173,35,52,2,2013,12,december
174,35,59,2,2013,12,december
175,36,42,3,2014,1,january
176,36,45,3,2014,1,january
177,36,45,3,2014,1,january
178,36,45,3,2014,1,january
179,36,42,3,2014,1,january
180,37,47,2,2014,2,february
181,37,50,2,2014,2,february
182,37,47,2,2014,2,february
183,37,47,2,2014,2,february
184,37,50,2,2014,2,february
185,38,59,1,2014,3,march
186,38,52,1,2014,3,march
187,38,57,1,2014,3,march
188,38,59,1,2014,3,march
189,38,57,1,2014,3,march
190,39,60,1,2014,4,april
191,39,62,1,2014,4,april
192,39,60,1,2014,4,april
193,39,60,1,2014,4,april
194,39,62,1,2014,4,april
195,40,45,1,2014,5,may
196,40,45,1,2014,5,may
197,40,42,1,2014,5,may
198,40,45,1,2014,5,may
199,40,45,1,2014,5,may
200,41,37,1,2014,6,june
201,41,37,1,2014,6,june
202,41,37,1,2014,6,june
203,41,40,1,2014,6,june
204,41,37,1,2014,6,june
205,42,35,1,2014,7,july
206,42,30,1,2014,7,july
207,42,30,1,2014,7,july
208,42,35,1,2014,7,july
209,42,35,1,2014,7,july
210,43,48,1,2014,8,august
211,43,47,1,2014,8,august
212,43,48,1,2014,8,august
213,43,47,1,2014,8,august
214,43,48,1,2014,8,august
215,44,75,0,2014,9,september
216,44,75,0,2014,9,september
217,44,75,0,2014,9,september
218,44,78,0,2014,9,september
219,44,75,0,2014,9,september
220,45,57,1,2014,10,october
221,45,57,1,2014,10,october
222,45,52,1,2014,10,october
223,45,57,1,2014,10,october
224,45,52,1,2014,10,october
225,46,45,2,2014,11,november
226,46,45,2,2014,11,november
227,46,42,2,2014,11,november
228,46,45,2,2014,11,november
229,46,42,2,2014,11,november
230,47,37,1,2014,12,december
231,47,40,1,2014,12,december
232,47,37,1,2014,12,december
233,47,37,1,2014,12,december
234,47,40,1,2014,12,december
235,,,,,,
