,index,pitch,channels,year,month,months_text,track
0,1,60,1,2011,2,february,1
1,1,60,1,2011,2,february,0
2,1,62,1,2011,2,february,0
3,1,69,1,2011,2,february,0
4,1,60,1,2011,2,february,0
5,2,52,1,2011,3,march,0
6,2,59,1,2011,3,march,0
7,2,52,1,2011,3,march,0
8,2,52,1,2011,3,march,0
9,2,57,1,2011,3,march,0
10,3,78,0,2011,4,april,0
11,3,75,0,2011,4,april,0
12,3,78,0,2011,4,april,0
13,3,78,0,2011,4,april,0
14,3,75,0,2011,4,april,0
15,4,57,1,2011,5,may,1
16,4,52,1,2011,5,may,0
17,4,57,1,2011,5,may,0
18,4,57,1,2011,5,may,0
19,4,52,1,2011,5,may,0
20,5,60,3,2011,6,june,4
21,5,60,3,2011,6,june,0
22,5,62,3,2011,6,june,0
23,5,69,3,2011,6,june,0
24,5,69,3,2011,6,june,0
25,6,52,2,2011,7,july,1
26,6,57,2,2011,7,july,0
27,6,59,2,2011,7,july,0
28,6,57,2,2011,7,july,0
29,6,59,2,2011,7,july,0
30,7,72,2,2011,8,august,0
31,7,69,2,2011,8,august,0
32,7,72,2,2011,8,august,0
33,7,69,2,2011,8,august,0
34,7,69,2,2011,8,august,0
35,8,78,2,2011,9,september,0
36,8,75,2,2011,9,september,0
37,8,78,2,2011,9,september,0
38,8,75,2,2011,9,september,0
39,8,75,2,2011,9,september,0
40,9,30,1,2011,10,october,0
41,9,30,1,2011,10,october,0
42,9,35,1,2011,10,october,0
43,9,35,1,2011,10,october,0
44,9,30,1,2011,10,october,0
45,10,37,1,2011,11,november,0
46,10,40,1,2011,11,november,0
47,10,37,1,2011,11,november,0
48,10,40,1,2011,11,november,0
49,10,40,1,2011,11,november,0
50,11,50,2,2011,12,december,0
51,11,47,2,2011,12,december,0
52,11,50,2,2011,12,december,0
53,11,47,2,2011,12,december,0
54,11,50,2,2011,12,december,0
55,12,69,1,2012,1,january,0
56,12,60,1,2012,1,january,0
57,12,62,1,2012,1,january,0
58,12,69,1,2012,1,january,0
59,12,60,1,2012,1,january,0
60,13,37,1,2012,2,february,0
61,13,37,1,2012,2,february,0
62,13,37,1,2012,2,february,0
63,13,40,1,2012,2,february,0
64,13,37,1,2012,2,february,0
65,14,37,3,2012,3,march,0
66,14,40,3,2012,3,march,0
67,14,40,3,2012,3,march,0
68,14,37,3,2012,3,march,0
69,14,40,3,2012,3,march,0
70,15,45,2,2012,4,april,0
71,15,42,2,2012,4,april,0
72,15,45,2,2012,4,april,0
73,15,42,2,2012,4,april,0
74,15,42,2,2012,4,april,0
75,16,57,4,2012,5,may,0
76,16,59,4,2012,5,may,0
77,16,57,4,2012,5,may,0
78,16,59,4,2012,5,may,0
79,16,52,4,2012,5,may,0
80,17,69,4,2012,6,june,0
81,17,69,4,2012,6,june,0
82,17,69,4,2012,6,june,0
83,17,69,4,2012,6,june,0
84,17,60,4,2012,6,june,0
85,18,48,2,2012,7,july,0
86,18,47,2,2012,7,july,0
87,18,50,2,2012,7,july,0
88,18,50,2,2012,7,july,0
89,18,48,2,2012,7,july,0
90,19,69,4,2012,8,august,0
91,19,62,4,2012,8,august,0
92,19,60,4,2012,8,august,0
93,19,62,4,2012,8,august,0
94,19,60,4,2012,8,august,0
95,20,52,2,2012,9,september,0
96,20,59,2,2012,9,september,0
97,20,57,2,2012,9,september,0
98,20,59,2,2012,9,september,0
99,20,59,2,2012,9,september,0
100,21,48,4,2012,10,october,0
101,21,48,4,2012,10,october,0
102,21,50,4,2012,10,october,0
103,21,47,4,2012,10,october,0
104,21,47,4,2012,10,october,0
105,22,45,4,2012,11,november,0
106,22,42,4,2012,11,november,0
107,22,42,4,2012,11,november,0
108,22,45,4,2012,11,november,0
109,22,42,4,2012,11,november,0
110,23,52,3,2012,12,december,0
111,23,57,3,2012,12,december,0
112,23,57,3,2012,12,december,0
113,23,57,3,2012,12,december,0
114,23,59,3,2012,12,december,0
115,24,69,3,2013,1,january,0
116,24,62,3,2013,1,january,0
117,24,60,3,2013,1,january,0
118,24,60,3,2013,1,january,0
119,24,69,3,2013,1,january,0
120,25,60,2,2013,2,february,2
121,25,60,2,2013,2,february,0
122,25,60,2,2013,2,february,0
123,25,60,2,2013,2,february,0
124,25,60,2,2013,2,february,0
125,26,52,2,2013,3,march,0
126,26,52,2,2013,3,march,0
127,26,57,2,2013,3,march,0
128,26,52,2,2013,3,march,0
129,26,59,2,2013,3,march,0
130,27,60,1,2013,4,april,0
131,27,62,1,2013,4,april,0
132,27,69,1,2013,4,april,0
133,27,69,1,2013,4,april,0
134,27,60,1,2013,4,april,0
135,28,62,1,2013,5,may,0
136,28,60,1,2013,5,may,0
137,28,62,1,2013,5,may,0
138,28,69,1,2013,5,may,0
139,28,62,1,2013,5,may,0
140,29,42,1,2013,6,june,1
141,29,45,1,2013,6,june,0
142,29,42,1,2013,6,june,0
143,29,45,1,2013,6,june,0
144,29,42,1,2013,6,june,0
145,30,37,3,2013,7,july,0
146,30,40,3,2013,7,july,0
147,30,40,3,2013,7,july,0
148,30,40,3,2013,7,july,0
149,30,40,3,2013,7,july,0
150,31,30,2,2013,8,august,0
151,31,30,2,2013,8,august,0
152,31,35,2,2013,8,august,0
153,31,35,2,2013,8,august,0
154,31,30,2,2013,8,august,0
155,32,30,1,2013,9,september,0
156,32,35,1,2013,9,september,0
157,32,35,1,2013,9,september,0
158,32,35,1,2013,9,september,0
159,32,30,1,2013,9,september,0
160,33,30,3,2013,10,october,0
161,33,30,3,2013,10,october,0
162,33,35,3,2013,10,october,0
163,33,35,3,2013,10,october,0
164,33,30,3,2013,10,october,0
165,34,50,2,2013,11,november,3
166,34,48,2,2013,11,november,0
167,34,50,2,2013,11,november,0
168,34,47,2,2013,11,november,0
169,34,48,2,2013,11,november,0
170,35,59,2,2013,12,december,0
171,35,52,2,2013,12,december,0
172,35,57,2,2013,12,december,0
173,35,59,2,2013,12,december,0
174,35,57,2,2013,12,december,0
175,36,42,3,2014,1,january,0
176,36,45,3,2014,1,january,0
177,36,42,3,2014,1,january,0
178,36,45,3,2014,1,january,0
179,36,45,3,2014,1,january,0
180,37,50,2,2014,2,february,4
181,37,47,2,2014,2,february,0
182,37,50,2,2014,2,february,0
183,37,48,2,2014,2,february,0
184,37,48,2,2014,2,february,0
185,38,59,1,2014,3,march,0
186,38,59,1,2014,3,march,0
187,38,52,1,2014,3,march,0
188,38,57,1,2014,3,march,0
189,38,57,1,2014,3,march,0
190,39,60,1,2014,4,april,0
191,39,60,1,2014,4,april,0
192,39,69,1,2014,4,april,0
193,39,60,1,2014,4,april,0
194,39,69,1,2014,4,april,0
195,40,42,1,2014,5,may,0
196,40,45,1,2014,5,may,0
197,40,42,1,2014,5,may,0
198,40,42,1,2014,5,may,0
199,40,42,1,2014,5,may,0
200,41,40,1,2014,6,june,0
201,41,37,1,2014,6,june,0
202,41,40,1,2014,6,june,0
203,41,37,1,2014,6,june,0
204,41,37,1,2014,6,june,0
205,42,30,1,2014,7,july,0
206,42,35,1,2014,7,july,0
207,42,35,1,2014,7,july,0
208,42,35,1,2014,7,july,0
209,42,30,1,2014,7,july,0
210,43,48,1,2014,8,august,0
211,43,50,1,2014,8,august,0
212,43,48,1,2014,8,august,0
213,43,48,1,2014,8,august,0
214,43,50,1,2014,8,august,0
215,44,75,0,2014,9,september,0
216,44,78,0,2014,9,september,0
217,44,75,0,2014,9,september,0
218,44,75,0,2014,9,september,0
219,44,75,0,2014,9,september,0
220,45,57,1,2014,10,october,0
221,45,59,1,2014,10,october,0
222,45,57,1,2014,10,october,0
223,45,59,1,2014,10,october,0
224,45,59,1,2014,10,october,0
225,46,42,2,2014,11,november,0
226,46,42,2,2014,11,november,0
227,46,45,2,2014,11,november,0
228,46,45,2,2014,11,november,0
229,46,42,2,2014,11,november,0
230,47,37,1,2014,12,december,0
231,47,40,1,2014,12,december,0
232,47,40,1,2014,12,december,0
233,47,40,1,2014,12,december,0
234,47,40,1,2014,12,december,0
